iter	Passed	Remaining
0	60	60355
1	61	30721
2	62	20698
3	62	15680
4	63	12723
5	64	10695
6	65	9271
7	65	8179
8	66	7339
9	67	6668
10	68	6136
11	69	5704
12	70	5314
13	70	4974
14	71	4676
15	71	4423
16	72	4206
17	73	4028
18	74	3848
19	76	3740
20	77	3591
21	77	3456
22	78	3332
23	79	3220
24	80	3131
25	80	3029
26	81	2933
27	81	2841
28	82	2762
29	83	2707
30	84	2649
31	85	2583
32	86	2521
33	86	2459
34	87	2404
35	87	2352
36	88	2305
37	89	2256
38	89	2210
39	90	2175
40	91	2136
41	92	2101
42	92	2066
43	93	2030
44	93	1994
45	94	1965
46	95	1934
47	96	1905
48	96	1877
49	97	1852
50	99	1847
51	100	1825
52	100	1799
53	101	1774
54	101	1750
55	102	1730
56	103	1706
57	103	1684
58	104	1664
59	105	1645
60	105	1630
61	106	1610
62	107	1598
63	109	1602
64	110	1587
65	111	1572
66	111	1557
67	112	1545
68	113	1529
69	114	1515
70	114	1499
71	115	1486
72	115	1472
73	116	1458
74	117	1444
75	117	1434
76	118	1426
77	119	1415
78	120	1403
79	121	1393
80	122	1384
81	122	1371
82	122	1355
83	123	1350
84	124	1340
85	125	1330
86	125	1320
87	126	1309
88	127	1301
89	127	1291
90	128	1281
91	128	1271
92	129	1262
93	130	1253
94	130	1244
95	131	1234
96	131	1227
97	132	1220
98	133	1211
99	134	1206
100	134	1198
101	135	1190
102	135	1182
103	136	1175
104	137	1168
105	137	1160
106	138	1153
107	138	1146
108	139	1140
109	140	1134
110	140	1128
111	141	1120
112	142	1115
113	142	1108
114	143	1102
115	143	1095
116	144	1088
117	144	1083
118	145	1077
119	146	1073
120	147	1068
121	147	1061
122	148	1055
123	148	1050
124	149	1044
125	149	1040
126	150	1034
127	151	1028
128	151	1024
129	152	1020
130	153	1015
131	153	1009
132	154	1004
133	154	1000
134	155	996
135	156	991
136	156	986
137	157	982
138	157	978
139	158	973
140	159	968
141	159	963
142	160	958
143	160	954
144	161	950
145	161	945
146	162	942
147	162	938
148	163	934
149	164	929
150	164	926
151	165	923
152	166	919
